Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Peer Mentor Group Assignments.xlsx,https://missionaries.prod.byu-pathway.psdops.com/Peer-Mentor-Group-Assignments.xlsx,./data/others/Peer-Mentor-Group-Assignmentsxlsx.vnd.openxmlformats-officedocument.spreadsheetml.sheet,vnd.openxmlformats-officedocument.spreadsheetml.sheet,8f72a5ed90d49870067947277a4f27f4672d28174b93f6b0f11fc84c6a495cc5
Canvas – Student Questions,Grades and Feedback,How do I check what-if grades?,https://resourcecenter.byupathway.edu/faqs/canvas/how-do-i-check-what-if-grades,./data/html/How-do-I-check-what-if-grades.html,html,3db709ca388ae284866c20ad9148d60bbc178ed7a833d497c4a45ff43577507e
EnglishConnect 3 (EC3),EnglishConnect 3,English Connect 3 Video July 27.mp4,https://missionaries.prod.byu-pathway.psdops.com/English-Connect-3-Video-July-27.mp4,./data/others/English-Connect--Video-July-mp.mp4,mp4,30098f82520c7cf569be75cd6f8673b933203e5a13713ddd8928ca8e2e20f346
Friends of the Church,,Give a BOM to friends of the church,https://www.churchofjesuschrist.org/study/manual/share-the-book-of-mormon-2024/01?lang=eng,./data/html/Give-a-BOM-to-friends-of-the-church.html,html,03266ecf7acb69ffd8dfe2e9b23d6b68b3455083cf28094e7194487c3bff1790
Friends of the Church,,Help a Friend Connect with the Missionaries,https://www.churchofjesuschrist.org/serve/share/connect-with-missionaries?lang=eng,./data/html/Help-a-Friend-Connect-with-the-Missionaries.html,html,3bcca84c1482b8e5e837581ea06ae9090c56d516309687855a5fdd5fe2e6882e
Gatherings,Gathering Training and Resources,Best Practices for Facilitating Virtual Gatherings.pdf,https://byu-pathway.brightspotcms.com/cms/content/edit.jsp?id=00000191-1346-de5b-a9f9-535eb8220001&typeId=99ef42fa-b84a-3573-8e5b-015af8a5b9cf,./data/html/Best-Practices-for-Facilitating-Virtual-Gatheringspdf.html,html,f0164eb7aeb7a8ea06b66e02376a3aac9738a9366c246ae8f40468da67de9068
Gatherings,Gathering Training and Resources,Best Practices for Virtual Gatherings That Dont Feature Videoconferencing.pdf,https://missionaries.prod.byu-pathway.psdops.com/Best-Practices-for-Virtual-Gatherings-That-Dont-Feature-Videoconferencing,./data/pdf/Best-Practices-for-Virtual-Gatherings-That-Dont-Feature-Videoconferencingpdf.pdf,pdf,3dd6e5e62c55ba9fcf696defb4f6e6b45a10bdb9f0897070b3cef84b167aedb6
Gatherings,Gathering Training and Resources,Gathering Procedures (PathwayConnect).pdf,https://missionaries.prod.byu-pathway.psdops.com/Gathering-Procedures-PathwayConnect,./data/pdf/Gathering-Procedures-PathwayConnectpdf.pdf,pdf,7207b55cea6506ff18785cfb8368585d9eb4239ff18eabe9cd304df43fbe9fad
Gatherings,Gathering Training and Resources,Gathering Procedures for Inviting Friends.pdf,https://missionaries.prod.byu-pathway.psdops.com/Gathering-Procedures-for-Inviting-Friends,./data/pdf/Gathering-Procedures-for-Inviting-Friendspdf.pdf,pdf,9e3b2661d20a799c957186a93a65898bc7d4130588a80a3467a10ed1700fce35
Gatherings,Gathering Training and Resources,PathwayConnect Gathering Procedures.pdf,https://missionaries.prod.byu-pathway.psdops.com/PathwayConnect-Gathering-Procedures,./data/pdf/PathwayConnect-Gathering-Procedurespdf.pdf,pdf,7513badab852290379ed0b6fbec51ace5f4c5648920a6459b109b4ea3fbdd298
Gatherings,Gathering Training and Resources,PC 102 Semester Project Overview.pdf,https://missionaries.prod.byu-pathway.psdops.com/PC-102-Semester-Project-Overview,./data/pdf/PC--Semester-Project-Overviewpdf.pdf,pdf,80d74ce3f20647a4394d194873e329129c1834d25788d93148a99bbdca282b7e
