Section,Subsection,Title,URL
1. Background and Foundation,,"1.1 The History of PathwayConnect, Online Learning and the Creation of BYU-Pathway Worldwide",https://www.byupathway.edu/policies/handbook/1-1-the-history-of-pathwayconnect-online-learning-and-the-creation-of-byu-pathway-worldwide
1. Background and Foundation,,1.2 Institutes of Religion & PEF/ Self-Reliance Centers,https://www.byupathway.edu/policies/handbook/1-2-institutes-of-religion-pef-self-reliance-centers
1. Background and Foundation,,1.3 Program Objectives,https://www.byupathway.edu/policies/handbook/1-3-program-objectives
1. Background and Foundation,,1.4 Program Structure & Requirements,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements
1. Background and Foundation,,1.4.1 Target Audience,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-1-target-audience
1. Background and Foundation,,1.4.2 Weekly PathwayConnect Gatherings,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-2-weekly-pathwayconnect-gatherings
1. Background and Foundation,,1.4.3 PathwayConnect Version & Group Types,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-3-pathwayconnect-version-group-types
1. Background and Foundation,,1.4.4 Local Support,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-4-local-support
1. Background and Foundation,,1.4.5 Certificates & Degrees,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-5-certificates-degrees
1. Background and Foundation,,1.4.6 Cost,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements#1-4-6-cost
2. Admission and Tuition,,2.1 Application Process,https://www.byupathway.edu/policies/handbook/2-1-application-process-re
2. Admission and Tuition,,2.1.1 Application Deadline,https://www.byupathway.edu/policies/handbook/2-1-application-process-re#2-1-1-application-deadline
2. Admission and Tuition,,2.1.2 Minimum Enrollment,https://www.byupathway.edu/policies/handbook/2-1-application-process-re#2-1-2-minimum-enrollment
2. Admission and Tuition,,2.1.3 Admission Decisions,https://www.byupathway.edu/policies/handbook/2-1-application-process-re#2-1-3-admission-decisions
2. Admission and Tuition,,2.1.4 Admission to a Program Type,https://www.byupathway.edu/policies/handbook/2-1-application-process-re#2-1-4-admission-to-a-program-type
2. Admission and Tuition,,2.2 Admission Requirements,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re
2. Admission and Tuition,,2.2.1 Church Membership Status,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-1-church-membership-status
2. Admission and Tuition,,2.2.2 Non-Member Applicants,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-2-non-member-applicants
2. Admission and Tuition,,2.2.3 Minimum Age Eligibility,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-3-minimum-age-eligibility
2. Admission and Tuition,,2.2.4 CES Honor Code,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-4-ces-honor-code
2. Admission and Tuition,,2.2.5 Criminal History,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-5-criminal-history
2. Admission and Tuition,,2.2.6 Student Visas,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re#2-2-6-student-visas
2. Admission and Tuition,,2.3 English Placement Assessment,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re
2. Admission and Tuition,,2.3.1 Administering the Assessment,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re#2-3-1-administering-the-assessment
2. Admission and Tuition,,2.3.2 Period of Validity,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re#2-3-2-period-of-validity
2. Admission and Tuition,,2.3.3 Retaking the Assessment,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re#2-3-3-retaking-the-assessment
2. Admission and Tuition,,2.3.4 Deaf Students,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re#2-3-4-deaf-students
2. Admission and Tuition,,2.4 Tuition & Financial Aid,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re
2. Admission and Tuition,,2.4.1 Tuition Deadline,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-1-tuition-deadline
2. Admission and Tuition,,2.4.2 Calculating Tuition,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-2-calculating-tuition
2. Admission and Tuition,,2.4.3 Tuition Late Fee,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-3-tuition-late-fee
2. Admission and Tuition,,2.4.4 Tuition Refunds,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-4-tuition-refunds
2. Admission and Tuition,,2.4.5 Tuition Discounts,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-5-tuition-discounts
2. Admission and Tuition,,2.4.6 Donating Tuition Funds,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re#2-4-6-donating-tuition-funds
2. Admission and Tuition,,2.5 Returning Students,https://www.byupathway.edu/policies/handbook/2-5-returning-students-re
3. Courses and Registration,,3.1 Course Registration Process,https://www.byupathway.edu/policies/handbook/3-1-course-registration-process-re
3. Courses and Registration,,3.1.1 Course Registration Deadline,https://www.byupathway.edu/policies/handbook/3-1-course-registration-process-re#3-1-1-course-registration-deadline
3. Courses and Registration,,3.2 Courses & Sequences,https://www.byupathway.edu/policies/handbook/3-2-courses-sequences-re
3. Courses and Registration,,3.2.1 Course Descriptions,https://www.byupathway.edu/policies/handbook/3-2-courses-sequences-re#3-2-1-course-descriptions
3. Courses and Registration,,3.2.2 Staying With the Cohort,https://www.byupathway.edu/policies/handbook/3-2-courses-sequences-re#3-2-2-staying-with-the-cohort
3. Courses and Registration,,3.3 Course Auditing,https://www.byupathway.edu/policies/handbook/3-3-course-auditing-re
3. Courses and Registration,,3.4 Course Retakes and Returning Students,https://www.byupathway.edu/policies/handbook/3-4-course-retakes-and-returning-students-re
3. Courses and Registration,,3.4.1 Returning to a New Program,https://www.byupathway.edu/policies/handbook/3-4-course-retakes-and-returning-students-re#3-4-1-returning-to-a-new-program
3. Courses and Registration,,3.4.2 Online-Only Course Retake Eligibility,https://www.byupathway.edu/policies/handbook/3-4-course-retakes-and-returning-students-re#3-4-2-online-only-course-retake-eligibility
3. Courses and Registration,,3.5 BYU-Idaho Course Exceptions,https://www.byupathway.edu/policies/handbook/3-5-byu-idaho-course-exceptions-re
3. Courses and Registration,,3.6 Withdrawing from PathwayConnect,https://www.byupathway.edu/policies/handbook/3-6-withdrawing-from-pathwayconnect-re
3. Courses and Registration,,3.7 Non-Participating Students,https://www.byupathway.edu/policies/handbook/3-7-non-participating-students-re
3. Courses and Registration,,3.8 Students in Active Military Service,https://www.byupathway.edu/policies/handbook/3-8-students-in-active-military-service-re
3. Courses and Registration,,3.9 Students Going on Full-time Missions,https://www.byupathway.edu/policies/handbook/3-9-students-going-on-full-time-missions-re
4. Sites and Groups,,4.1 PathwayConnect Sites,https://www.byupathway.edu/policies/handbook/4-1-pathwayconnect-sites-re
4. Sites and Groups,,4.1.1 Program Expansion,https://www.byupathway.edu/policies/handbook/4-1-pathwayconnect-sites-re#4-1-1-program-expansion
4. Sites and Groups,,4.1.2 Site Approval Guidelines,https://www.byupathway.edu/policies/handbook/4-1-pathwayconnect-sites-re#4-1-2-site-approval-guidelines
4. Sites and Groups,,4.2 PathwayConnect Groups,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re
4. Sites and Groups,,4.2.1 Group Types,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re#4-2-1-group-types
4. Sites and Groups,,4.2.2 Group Sizes,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re#4-2-2-group-sizes
4. Sites and Groups,,4.2.3 Group Gathering Locations,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re#4-2-3-group-gathering-locations
4. Sites and Groups,,4.2.4 Overflow Gathering Locations,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re#4-2-4-overflow-gathering-locations
4. Sites and Groups,,4.2.5 Combining L and Standard Students Into One Group,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re#4-2-5-combining-l-and-standard-students-into-one-group
5. Gatherings,,5. Gatherings,https://www.byupathway.edu/policies/handbook/5-gatherings-re
5. Gatherings,,5.1 Gathering Schedule,https://www.byupathway.edu/policies/handbook/5-1-gathering-schedule-re
5. Gatherings,,5.2 Gathering Calendar,https://www.byupathway.edu/policies/handbook/5-2-gathering-calendar-re
5. Gatherings,,5.3 Gathering Location,https://www.byupathway.edu/policies/handbook/5-3-gathering-location-re
5. Gatherings,,5.4 Facilitating the Gathering,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re
5. Gatherings,,5.4.1 Lead Student,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re#5-4-1-lead-student
5. Gatherings,,5.4.2 First Gatherings for New PathwayConnect Groups,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re#5-4-2-first-gatherings-for-new-pathwayconnect-groups
5. Gatherings,,5.4.3 Culture of the Gathering,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re#5-4-3-culture-of-the-gathering
5. Gatherings,,5.4 Facilitating the Gathering,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re#5-4-facilitating-the-gathering
5. Gatherings,,5.5 Gathering Standards,https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu
5. Gatherings,,5.5.1 Attendance,https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu#5-5-1-attendance
5. Gatherings,,5.5.2 Visitors,https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu#5-5-2-visitors
5. Gatherings,,"5.5.3 Gathering Cancellations, Excusals, and Waivers",https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu#5-5-3-gathering-cancellations-excusals-and-waivers
5. Gatherings,,5.5.4 Holidays,https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu#5-5-4-holidays
6. Student Records,,6. Student Records,https://www.byupathway.edu/policies/handbook/6-student-records-ed
6. Student Records,,6.1 Transcripts,https://www.byupathway.edu/policies/handbook/6-1-transcripts-ed
6. Student Records,,6.1.1 PathwayConnect Transcript Requests,https://www.byupathway.edu/policies/handbook/6-1-transcripts-ed#6-1-1-pathwayconnect-transcript-requests
6. Student Records,,6.1.2 Institute Transcripts,https://www.byupathway.edu/policies/handbook/6-1-transcripts-ed#6-1-2-institute-transcripts
6. Student Records,,6.2 Grading System & GPA,https://www.byupathway.edu/policies/handbook/6-2-grading-system-gpa-ed
6. Student Records,,6.3 Credits & Courses,https://www.byupathway.edu/policies/handbook/6-3-credits-courses-ed
6. Student Records,,6.3.1 Transfer Credit,https://www.byupathway.edu/policies/handbook/6-3-credits-courses-ed#6-3-1-transfer-credit
6. Student Records,,6.3.2 Course Retakes,https://www.byupathway.edu/policies/handbook/6-3-credits-courses-ed#6-3-2-course-retakes
6. Student Records,,6.4 Pathway Certificates,https://www.byupathway.edu/policies/handbook/6-4-pathway-certificates-ed
6. Student Records,,6.5 Confidentiality of Student Records,https://www.byupathway.edu/policies/handbook/6-5-confidentiality-of-student-records-ed
6. Student Records,,6.5.1 PathwayConnect Confidentiality of Student Records,https://www.byupathway.edu/policies/handbook/6-5-confidentiality-of-student-records-ed#6-5-1-pathwayconnect-confidentiality-of-student-records
6. Student Records,,6.6 Other Policies & Procedures,https://www.byupathway.edu/policies/handbook/6-6-other-policies-procedures-ed
6. Student Records,,6.6.1 Username & Password Protections,https://www.byupathway.edu/policies/handbook/6-6-other-policies-procedures-ed#6-6-1-username-password-protections
6. Student Records,,6.6.2 Proof of Enrollment,https://www.byupathway.edu/policies/handbook/6-6-other-policies-procedures-ed#6-6-2-proof-of-enrollment
6. Student Records,,6.6.3 Exceptions to Policies,https://www.byupathway.edu/policies/handbook/6-6-other-policies-procedures-ed#6-6-3-exceptions-to-policies
7. Leadership and Roles,,7. Leadership and Roles,https://www.byupathway.edu/policies/handbook/7-leadership-and-roles-e
7. Leadership and Roles,,7.1 Role of Local Leaders,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed
7. Leadership and Roles,,7.1.1 Role of Area Presidencies,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed#7-1-1-role-of-area-presidencies
7. Leadership and Roles,,7.1.2 Role of Area Seventies,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed#7-1-2-role-of-area-seventies
7. Leadership and Roles,,7.1.3 Role of Agent Stake Presidents,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed#7-1-3-role-of-agent-stake-presidents
7. Leadership and Roles,,7.1.4 Role of Institute Directors/Coordinators,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed#7-1-4-role-of-institute-directors-coordinators
7. Leadership and Roles,,7.1.5 Perpetual Education Fund (PEF) Self-Reliance Managers,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed#7-1-5-perpetual-education-fund-pef-self-reliance-managers
7. Leadership and Roles,,7.2 Role of Service Missionaries,https://www.byupathway.edu/policies/handbook/7-2-role-of-service-missionaries-ed
7. Leadership and Roles,,7.2.1 Finding Students,https://www.byupathway.edu/policies/handbook/7-2-role-of-service-missionaries-ed#7-2-1-finding-students
7. Leadership and Roles,,7.2.2 Other Roles,https://www.byupathway.edu/policies/handbook/7-2-role-of-service-missionaries-ed#7-2-2-other-roles
7. Leadership and Roles,,7.3 Role of BYU-Idaho,https://www.byupathway.edu/policies/handbook/7-3-role-of-byu-idaho-ed
7. Leadership and Roles,,7.4 Role of PathwayConnect Administration,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed
7. Leadership and Roles,,7.4.1 PathwayConnect Directors,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed#7-4-1-pathwayconnect-directors
7. Leadership and Roles,,7.4.2 BYU-Pathway Area Managers,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed#7-4-2-byu-pathway-area-managers
7. Leadership and Roles,,7.4.3 BYU-Pathway Support,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed#7-4-3-byu-pathway-support
7. Leadership and Roles,,7.4.4 BYU-Pathway Worldwide Communications,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed#7-4-4-byu-pathway-worldwide-communications
8. Services,,8. Services,https://www.byupathway.edu/policies/handbook/8-1-byu-pathway-support-ed
8. Services,,8.1 BYU-Pathway Support,https://www.byupathway.edu/policies/handbook/8-1-byu-pathway-support-e
8. Services,,8.2 Tutoring,https://www.byupathway.edu/policies/handbook/8-2-tutoring-ed
8. Services,,8.3 Assistance for Students with Disabilities,https://www.byupathway.edu/policies/handbook/8-3-assistance-for-students-with-disabilities-ed
8. Services,,8.4 Services Not Available,https://www.byupathway.edu/policies/handbook/8-4-services-not-available-ed
9. Student Honor,,9.1 Honor Code,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r
9. Student Honor,,9.1.1 Disruptive Behavior,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-1-disruptive-behavior
9. Student Honor,,"9.1.2 Harassment, Hazing, Intimidation, or Aggressive Behavior",https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-2-harassment-hazing-intimidation-or-aggressive-behavior
9. Student Honor,,9.1.3 Sexual Misconduct,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-3-sexual-misconduct
9. Student Honor,,9.1.4 Plagiarism,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-4-plagiarism
9. Student Honor,,9.1.5 Fabrication/Falsification,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-5-fabrication-falsification
9. Student Honor,,9.1.6 Cheating,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-6-cheating
9. Student Honor,,9.1.7 Other Academic Misconduct,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r#9-1-7-other-academic-misconduct
9. Student Honor,,9.2 Procedures for Handling Misconduct,https://www.byupathway.edu/policies/handbook/9-2-procedures-for-handling-misconduct-r
9. Student Honor,,9.2.1 Misconduct in a PathwayConnect Course,https://www.byupathway.edu/policies/handbook/9-2-procedures-for-handling-misconduct-r#9-2-1-misconduct-in-a-pathwayconnect-course
10. After PathwayConnect,,10. After PathwayConnect,https://www.byupathway.edu/policies/handbook/10-after-pathwayconnect-r
10. After PathwayConnect,,10.1 Online Certificates and Degrees,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r
10. After PathwayConnect,,10.1.1 Online Certificate and Degrees Admission Requirements for PathwayConnect Student,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-1-online-certificate-and-degrees-admission-requirements-for-pathwayconnect-student
10. After PathwayConnect,,10.1.2 Deadlines,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-2-deadlines
10. After PathwayConnect,,10.1.3 Tuition & Financial Aid,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-3-tuition-financial-aid
10. After PathwayConnect,,10.1.4 Support and Advising,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-4-support-and-advising
10. After PathwayConnect,,10.1.5 Previous Credits from Other Colleges,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-5-previous-credits-from-other-colleges
10. After PathwayConnect,,10.1.6 International Credits,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-6-international-credits
10. After PathwayConnect,,10.1.7 PathwayConnect Credits to BYU-Idaho,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-7-pathwayconnect-credits-to-byu-idaho
10. After PathwayConnect,,10.1.8 Institute Credits to BYU-Idaho,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-8-institute-credits-to-byu-idaho
10. After PathwayConnect,,10.1.9 PathwayConnect Certificates,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r#10-1-9-pathwayconnect-certificates
